Title,Name,Ratings,Review
Revolt RV 400 review,4 months ago by Lalit Mohan,5,Awesome bike with awesome features but I need a bike to go the stadium. every day i go the stadium by cycle which is so hard. I can't purchase it because I am a student and a athlete also.
Ride more earn more electric moto,3 months ago by Ravinder Kumar,5,Amazing buying experience. Revolt team is cooperative and explained the feature thrice to me. And picked my call and responding on whatsapp. As we know looks are amazing I am getting 130 to 140 km in single charge on eco mode.ProsGood looking bikeNo petrol expenditureMore you run more you earnConsPower switch light always on which is a bit annoyingRemove USB chargerProblem in revolt mobile app of gps
Electric bike,1 month ago by Dhruv,5,Nice bike electric Good in looks Easy to chargeBest performanceLow cost maintenance4.5 hours chargingNo pollution problemMaintenance of motor and batteryRevolt rv 400 riding range is80-150 kmRevolt rv 400 top speed 45-85 km/hRevolt rv 400 kerb weight is108 kgRevolt rv 400 battery charging time is4.5 hrs.Revolt rv 400 power rated is3000 wRevolt rv 400 seat height is814 mm
Revolt first indian e-bike,2 years ago by Shubham Vishwakarma,4,"I never owned revolt bike,but when i seen first i think to buy .Its look is awesome, performance is best than others,design and technology used is first seen in revolt.This is better than any other bikes in all the features its no.1 ,i wish to buy revolt for my personal use,its environmental friendly."
Royal revolt,2 years ago by Vishnu Pj,5,"Best bike. It is a royal bike,feels like young and energetic, very comfortable and good safety. My dream: revolt. Revolt is my love. Can silencer change bike. Superb royal bike.Best performance. King of roads. Energy saving, pollution free bike. King of electric bikes till now. Mother of all the present bikes."
Amazing sporty bike revolt rv400,2 years ago by Shehzad Siddiqui,5,I have seen its feature And amazing 7 and half year battery warranty make me happy And 150 km in one charge. It's amazing road touch performance and sporty look make me to purchase this bike.Right now m stuck at gujrat. I will purchase it when i will be in mumbai city at my home. Love revolt rv400 With love.
Bike of the millennium,2 years ago by Deepak Kumar  Gandhi,5,Its very comfortable  and superb ride and mileage is last long  very simple and useful. Low maintenance bike easy to maintain. Lovely experience just like pocket friendly and its high demand in market when my friend purchased i think so many company  bike but my opinion  goes wrong because this is very high thinking and high level bike so its great to buy today i am big fan of this.
My revolt,2 years ago by Heyman Sunny,4,"First electric bike in India. Revolt rv400 Based in ai Easy to charge Stylish and comfortable Easy emi, Ride to free and live free Eco friendly No petrol. Customize sound effect. Gps enabled. Control with smartphone. Bluetooth connectivity. Best for city ride Robotic looking head light Most advanced technology Rv 400."
Supper electric bike with nice look,2 years ago by Amit  Tajane,5,"Details about looks, performance, no pollution, less investment with value your money. Quality of the product and features added bike, nice insurance policy with bike tiers replacement policy.India's no one electric bike. Supper mileage at one time charging, i thing it is advantage of poor people to buy this bike at no advance payment."
Dream bike for youngsters,2 years ago by Gaurav,4,It's a good  and eco friendly bike. Very less maintenance and it's like you are riding normal bike.. You can drive on highway also but company should built-in charging station on at-least main highway and city..Future is for electric bike and go and grab this beauty..Will share more experience in future.
Amazing bike with great features,2 years ago by Debiprasad,4,Revolt bikes are the best budget friendly bike in India in the next 2020.Both the bike revolt 300 and revolt 400 looking great having unique features.For the college students it is the best option.Further may revolt bikes put some more amazing unique sound from its riding experience is different.Great power having great sound.
The new future of bikes or is it  lets find o,2 years ago by Alapan Roy,4,"Well, 1st of all its totally visually appealing. Awesome ergonomics, built quality looks premium.Although it is an electric bike its safer for our environment also, so i congratulate revolt to bring the future in our reach. Now its time for the truth, the most important than any question , is it worth to get one ?? lets find out together.Pros :- 1) its an electric bike (green).2) anyone , even students can afford it with mrp(my revolt plan) scheme.3) looks great. Even built quality also never compromised by revolt.4) high-tech apps features (not all features are disclose as of now, so there should be more premium features letter on ) ex- geo fensing , exhaust sound change , keyless , and riding modes.5) swapping station and battery delivery concept.6) lifetime battery warranty.7) unlimited service by revolt under mrp(my revolt plan).8) though its an electric bike the lower end pick up is heavily high.9) usd(up-side down forks).10) led head drls & projector head lamp.11) led tell lamp.15) fast charging (75% charge in 2.5hour / full charge 4-4.5 hour).16) can be charge at any place with an 15mm port.17) can run up to 150km after one charge.18) cost efficient.Cons:-1) there is no abs.2) lack of speed. (max speed 80km/h)3) weight carrying capacity. (not more than 150kg)4) battery weight is too heavy almost 19-20kg. They said if your bike run out of battery then you can carry the batter charge it and put it back and you good to go. But i don't think it is to carry 20kg.5) it is an electric bike so its initial pick up is very high so you need to be very concerned while rev the acceleration.6) the engine power could be more powerful , overall you making a bike not scooter.(personal opinion).7) bike looks great but very compact which make this look like a toy.8) additional body graphics is missing which i believe can be added.9) the bike has no exhaust sounds, but there is a speaker which produce artificial exhaust sound and it totally understandable that the sound is artificial.Now the questions:-1) should i buy this bike ??Ans :- of course.. I will buy this bike when it will available in my area.2) why ?Ans :- because, not every superhero wear mask.."
Comparison with other similarly placed bikes,2 years ago by Akash Khurana,3,"1. In terms of power and design of the bike, you can compare it with any 150 cc bike available in market like ""pulsar, fz etc."" which ranges from Rs. 70,000 to 90000. However, you would be paying around 1,50,000 for this bike.Plus side - eco friendlyNegative side - twice expensive, Compromise on speed and range2. My Revolt Plan is nothing but a veil of LOAN for this bike from financial institution, ""RattanIndia Finance"" for which you would be paying 18% rate of interest and the same has already been included in My Revolt Plan.Plus side - Zero Down  PaymentNegative side - Compulsion of taking loan and submission of alot of documents and paper work.3. No doubt there are alot of new features being show cased like remote controlled, push start button, operating bike from mobile phone, changing sound, geo fencing. I believe other features like DRLs are quite common features which are available in every bike now a days.At the time of taking the test drive of this bike, i was told that you can only start the bike either from a remote or mobile phone and not from a key. They could not answer when I asked them how to start the bike if remote stopped working and my mobile phone is out of battery.Although, sound coming out from the speaker is an interesting feature, however, maximum sound in itself is not at all loud and thrilling.My overall experience with representatives at Revolt Showroom was very bad as they were neither welcoming nor were aware about the complete specifications of the bike nor could answer to my queries.Cannot say much about the ride quality or performance of the bike because representatives only let me ride the bike in a service lane just for 2-3 minutes.I would give an overall rating of 3 stars to this bike and my overall experience."
Change the ride concept,2 years ago by Abhiraj Barde,5,This  bike is very useful & pollution  free and his feature is a very good like ai system and app control.The bike battery charge power is very good and  mileage is a very very high compare to other electric bike ans this is 1st electric bike in India and company's emi plans is very useful to buyers.
Don't buy revolt,3 weeks ago by Manhesh,1,"Don't buy revolt it's worthless.Worst buying experienceI took a test ride in Pune city and found it a good ev option better than the scooter option.Booked on Nov 21, buy paying 20k as booking amount, got slot of Feb-mar 22. To date didn't receive a bike.They don't have any customer support department or no options to solve customer issues.Their calls didn't get connected before 10min.Even after connecting you will get an answer that your complaint has escalated, and our people will get back to you( which never happens and didn't happen in 7 months).Whatsapp is in pits stop.Mails are only auto replied nothing after it. You will get the same mail each time. No one answers with solutions.If they can't provide bikes to customers on time why do they take advances and give delivery slots."
What an amazing bike,2 years ago by Vishwash Mishra,5,I really enjoyed this bike for city use its perfect bike and you can use it according to you. If you need average you can use low battery consumption mode other than this this bike looks sporty if you ride on the this bike so you will feel that its a sport bike and i like most its sound feature you can also change sound.
Review,2 years ago by Prashant,4,"This is very good bike to ride comfortable also.This bike is very friendly to environment,not produce any of pollution that's why this bike is so successful . The battery backup is also very good my bike giving me above 150 km range with one time full charge and it is easy to charge also.This bike is pollution free,easy to maintain fuel less."
Awesome experience with this bike ...,2 years ago by Varun Prasad,5,"Battery life is good, puck is extraordinarily...I like this bike very much ...No tension of refueling....In city riding it is the best i have ever seen...The special about this bike is 7 year battery makes trusted vehicle. it is the first even electric bike which is capable to defeat modern petrol bike and scooter.."
Still not available at my place hyderabad,2 years ago by Abrar,5,I have seen videos. Revolt rv 400 will sure bring the change in market also in future. I like the futuristic technology anti-theft system gps service. More over the sound system for exhaust but would love to have bluetooth connection to the speakers so can play songs. I will sure buy this bike as it's the gate way to the future.
Looking dashing,2 years ago by Rajeev Kumar Singh,5,"I have not ridden the bike, but looking so good & dashing. I want bike in my home town patna city. Initial cost high but running cost is very low according to petroleum bikes & pollution free to air & sounds. It's natural & renewable type of energy bike specially for men(boys). I am satisfied for both disc brake system."
Really good experience to see rv400,2 years ago by Pawan Kumar,4,I see this bike at kirti nagar delhi industrial area i drive my bike but another rv400 driver overtakes me without any noise this is great experience for me .. I really want to purchase this bike... But cost is very high and bike specifications are clearly mentioned i tried so many times.
Smoother and quick response Pollution free Bi,2 years ago by Arvind K. Singh,4,"I purchased my Bike before 1 week on 37 EMI's, Total cost of 1.5 Lac, Total drive experience of 500 Km. I can say smooth and quick running, very good driving experience, After one full charge of Bike performance are as per below 1. at Max. speed limit of 42 km/Hrs. total range 140 Km., 2. at Max. speed limit of 60 Km/Hrs. total range 95 Km., 3. at Max. speed limit of 80 Km./Hrs. total range 80 Km."
Superb,2 years ago by Kj,4,It looks like a good bike. Dashing look. Mesmerizing. What not to say about it. It is like fz of yamaha. Very good as it is electric vehicle. You can use it .It is little more costly but can be a good option. It should praise your interest towards electric vehicle.
Rv400 good & bad,1 year ago by Vipin Tyagi,4,"Rv400 is good e-bike we are sharing with you our good and bad experience, bike pickup look like petrol bike, led lamp is give us best vision in night, average is good no daily petrol tension.Bad experience- no central stand, no option for leg guard, siting no comfortable, cover should be on belt, foot rest is not best."
Super bike.,1 year ago by Divy,5,It's amazing bike. all type of service are nice. Look is better then all other bike. Pollution free bike and more grater than petrol bikes. RV400 bike is more Features than other Electric bike. It's key is very good. It's remote control bike.
Worst service and spare part availability,5 months ago by Vinay Salke,2,"This bike good for city ride. But this bike have lots of issue like,1. Remote of the bike haves lot cheap quality it have been replaced twice in a year.2. Front suspension is very stiff.3. Service network is worst.4 . Spare part availability is the biggest issue. 5. Service network is very low.6. Staff behavior towards customer is very rude.7. Customer support is very weak.8. Spare part quality is also not good and there failure ratio is too frequently."
Performance,2 years ago by Uday Kr Kashyap,5,"It is a good performance bike ever in electronic bike or scooty in India. All of things, just about its breaking system, damn cool also speed is perfect. Most popular thing is its three mode system, and also the super bike sound system . Thank you revolt. Its all value of money. Lajwab hai."
Review,2 years ago by Laxman Patil,5,"Details about looks, performance etc is very best,this is low buying bike and best riding bike, this servicing and maintenance is better easy. Pros and cons is better and it's maintenance is very easy. This is one of the most super bike and this bike is very shiny and look is  very beautiful ...."
"Poor after sales service, Lack of Availabilit",1 week ago by Harshad,1,"Sales after service are very poor, Many parts are not available in Revolt Showroom, Service associates are helpless and have the same answer that parts are not available every service scheduled. 1st & 2nd service done by giving washing and cleaning by Air compressor only and problem not solved as parts were not available."
Excellent bike - ride of the future,1 year ago by Mini,5,"My daughters wanted me to buy only electric scooter - for the environment they said. So i booked  in august and collected by bike yesterday! riding  the bike is an awesome experience... Smooth and effortless ride.. Only issue is the slightly shady billing and invoicing process - even though i paid 1,68,989/- invoice says 1,39,989! ather is issuing two separate invoices - one for less amount (1,39,000) where they claim fame ii incentive and one more additional invoice of balance amount where they are simply charging claiming some upgrade...Thus effectively the individual don't get the fame incentive!  so according to this ather 450x will be around 1,90,000!"
Very comfortable,3 months ago by Ajit Jain,5,Superb riding experience and its too smooth. Every one should ride the Ather scooter also good mileage and speed on traffic area.
Too much costly and quality wise average.,4 months ago by Shubham Patil,1,"Riding experience is good but the cost wise its very costly also the price mentioned in ""bikewale"" is also wrong, and its range is the second brand killer for Ather 450x with only 85 kms in a single charge. Ather 450x is the costliest electric scooter in India, its on road is 1.65 lakh, so price wise it is my personal review not to go with this scooter, other emerging brands are arriving in 2022, so its never late to wait for a perfect model to get launched."
Good to go with Electric Vehicles,5 months ago by Krishna,4,"To conserve our environment, use of electric vehicles is an proactive action. Electric vehicles help reduce  vehicular pollution, noise pollution, greenhouse gas emissions and more. In upcoming years, India is becoming an EV superpower since many e-mobility companies such as Ather energy, ola electric, AMO electric bikes, Simple energy, Ampere vehicles, Okinawa are all ready to penetrate Indian EV space with great products."
Best EV for me,6 months ago by Bhanuprakash,5,"Best electric vehicle this is. Compared to ola and other electric vehicles this is the best I have felt. Though ola gives more range than Ather. For example Ather is like Samsung and iPhone. Others are like oppo, vivo and mi. |From my experience I drive daily for 40-50 kms per day. I don't need higher km range as I do not go touring in this. So I feel Ather will be better to buy. Its quietly simple and awesome. It's features are not too low nor too high and it is simple as I am.. Simple things always looks good and attractive."
Good but highly priced,6 months ago by Sivakumar N,2,"Took a small test drive. Experience was good. The vehicle body frame and design are good. Belt drive may be a under design. The mileage of 85 kms per charge is very low compared to what claimed by ola and simple one. Very very highly priced. (on road rs1.51/- at Chennai)  service cost of 2500/- at every 5000kms is also very high, subscription of app 2400/- per annum is also high. No free service. With very few electric scooters in market, they might survive now. In a year or two, they might not be in the market or might loose business if they don’t reduce the price and with other competitors coming in soon. For this price, it is not worth. If you have money and conscious about environment, you can buy."
My ather and experience,6 months ago by Madhavaraj,5,I am a two wheeler lover.The ather 450is fulfills my needs by being1 maintenance free.2. Excellent pickup.3. Experience a good regeneration during coasting.4. Good braking distance to achieve short control.5 stability on road.6  comfortable seating arrangement.7 good dealer support8 timeline delivery.9. Wonderful on line support form technical team.10. Last ather is price to invest.
Overpriced but worth every penny,7 months ago by Arun,5,"A tad bit overpriced but its the best EV currently in the market don't fall for the trap of ola and simple one, just test drive either way before buying. Ather is a proven commodity for past two years whereas ola and simple don't have it yet.Ather servicing and customer service is very good even in the extreme circumstances they were of help to me."
World smart electric scooter,7 months ago by Sangam Ghorpade,5,"I love this scooter, is it most powerful smart scooter than any other scooter.Suspension is very smooth.Superior Ride.Unbelievable torqueI reached a top speed of 93 km/hThe sound is like a boing 737 JET.I like this smart display with 4G connectivity...GPS systemAccuracy of range in kilometersOn display as well as mobile phone."
Perfect from every angle.,7 months ago by Samarth Patel,5,"Those who are giving Ather 450X bad rating are only rating in terms of pricing though it is somewhat costly but Ather is way to good then any other vehicle out there in market. It's speed and pick-up is awesome and as per my daily use it gives minimum 85 km of mileage per charge. So, people who are reviewing it bad must see it from every angle."
After ola and simple one Ather seems an uneth,9 months ago by Suhag,1,"After the release of ola scooter and especially simple one, I feel cheated. Even a small company like simple one is exceeding by far on every aspect (203 km range, 72 nm torque etc.). Ather has been extorting money in the name of fancy vehicle. Taking advantage of consumers because you have a monopoly is not a way to earn trust of your customers.Highly doubt Ather will ever deliver anything at the right price."
I like this scooter really super fast,10 months ago by Daniel,5,"Very nice scooter really super fast scooter. I am enjoy driving, very good features thank you Ather, I am driving 75 days no complaints, no problem with this vehicle."
Best But overpriced,10 months ago by Rahul S,5,"its a best bike for city but price is too much. The bike's real cost is around 90k to 100k  but its overpriced and the company has many plans. Its cost shows like 2.4k for a year and including service plan but they have raised the price too much,  Overall best bike but new Ola bike is arriving soon. Ola may be a best option than Ather 450x."
"Most attractive design, reliable & powerful p",10 months ago by Kotesh Bagati,5,Ride experience is too good. It has wonderful braking confidence in moped category of this segment and the best suspension as well.Color options & design of this model is very much attractive.It would be good if Ather can focus to maximize the charge points through out Hyderabad as their volumes of business grow much faster.
Best in class. Do not fall for negative revie,10 months ago by Pankaj Khairnar,4,"Don't know why people are rating this bike low. I am a using this from April 2021, my daily run is 60-62 km, everyday I take my Ather to home and office, there is no single point where I can say I paid too much for this. Honestly I am satisfied and I am feeling more younger when I sit on it and ride it. This Ather team has made a marvel."
Yamaha rx in Ather 450x,11 months ago by Boobal,5,"Hassle free buying experience with skilled technicians...Replaced my rx 135 with ather450x, liked performance same as rx with 450x. Service persons are too fantastic and best in this price range....Not tired of continues riding at 40 km/h and 85 km/h upto 50km ride.... Comfort and speed is the best part of Ather 450x."
Too costly to afford for middle class people,1 year ago by Sathyamurthy,1,Pricing is too much as you need to pay more. No proper assistance. Don't buy Ather go for TVS or Bajaj.Insurance costs you 5000 rupees.Check other electric vehicles as their pricing is less than Ather.TVS iQube is good at its price or check Bajaj Chetak.Wait for more EV's to come in years. The future is electric only.
Take decision by thinking thrice,1 year ago by Rex,1,Pros:-Comfortable in riding. No back pain and good experience while taking delivery. May be more than a 150 cc bike. Brakes are good does the workSeats is like a jelly seat it is also good.Cons:-Subscriptions for facilities I hated it. Range is not getting as described.Price is very high not easy for a middle class.
Crap pricing and only one main showroom their,1 year ago by Shubendu,1,"Previous model was around 1.2 lakh now 1.8 lakh, even we can ride petrol bike buy pay 200 per liter more .Also don't get trap for those they say about cost saving for that millage and speed we can buy good bike or scooter for less than a lakh still get a better mileage and cost effective. And monthly subscription for other features."
"Worst Experience, and high price",1 year ago by Nirmala,1,"Buying Experience: not a happy experience for anyone due to a long waiting period and because of the pricing tag. 1.89 lakh's in Bangalore is the actual price. Only one branch in Bangalore and people need to go there for any small issues.Riding Experience: pickup is the only good thing. Height is a little more and will.be tough for those with less than 5.5 feet height. Shock absorbers are worst and riding experience not good on uneven roadsConnected features need a subscription. Otherwise even an app or charging station charging does not workJust around 70 to 75 km actual distance with one charge which needs 5 hours to charge again. Looks: ok ok, different look but not so comfortable. Very few options in colors also.Servicing: only one service center in all over Bangalore, company say they will pick and drop but that need a subscription.Pros: PickupMake in IndiaCons:Price, 1.89 lakh's actual on-road price (government gives 29k discount)Government discount will go to company pocket.5 hours charging needed for 75 km travel.Only one branch in Bangalore for all service and issues.After-sales response is not very good.The charger is external and needs to be fixed to the wall.Long travel not feasible as the bike does not have an internal charger.An external charger is heavy and costs 15k extra.Proper planning of ride needed, one wrong route will screw-up our travel.Very few charging points and many do not work.The battery will discharge while biking not in use.Worst shock absorbers.Extra height.Subscription for servicing.Subscription use maps and connected features."
High cost,1 year ago by Kalaivendhan,1,"Cost is very high otherwise is good and no removable battery, need to improve the range of bike cost is very high otherwise is good and no removable battery, need to improve the range of bike."
Safety issues,1 year ago by Anand Rathi,2,"The heaviest part of the bike i.E. The battery is above the wheel hub (bearing) line thus making the centre of gravity higher. I have noticed that you cant tilt much when cornering or the vehicle will definitely lose balance. Will be tough to ride this on wet streets in monsoons. This is a major safety issue. Also, the battery doesn't look like it will last long."
Future is electric,1 year ago by Srinivas,5,"It's a beast for the price you pay. You can compare its performance to a Duke 250 on full throttle but ignoring the top speed. It goes up-to 80kmph in the city which is enough and what I liked is the build quality. Things you must keep in mind b4 buying the bike:1. You need to charge it regularly and manage it well. If you can't manage the vehicle by charging it regularly or forget often to charge, don't buy this vehicle.2. You need to understand how the ecosystem works. The hefty price is not only for the vehicle. You get other services as well. Although for 1.6L I definitely feel it's worth it. You don't have to pay for petrol. That's a huge W.3. Make sure you know the nearest charging station so that it's convenient for you to charge your vehicle fast.Don't worry they provide you with a charger at home as well.4. You need to be gentle with the brakes. The bite is too good and you need to get used it."
Pathetic Experience,1 year ago by Ram Mohanreddy,1,"Buying Experience:Buying experience is pathetic, i have pre-booked vehicle by seeing an ad with false information. Waited 11 months to receive vehicle. No proper information given at purchase time also. No proper invoice it self. Govt discount will go to company account.Just a very normal electric scooter given for an amount of 1.89 lacs moneyAll the other features need subscription and subscription amount changed multiple times before even startRiding Experience: One good thing is pickup, but shock absobers are pathetic. Need flat road to have peaceful riding.Public Charging points not available properly, and those available does not work, and it need solid 6 hours to get chargedCompany claims 15km for 10 mins charging but it never works with fast charging also (tested from ather Experience center it self)Ather mobile app is just a waste it wont show basic information also with out subscription.Maps and dashboard get stuck in the middle and make u get confused with no information on how many km left on driveKeeping idle will reduce charging, 15% went to zero in 2 days.No portable charger, we need to pay 10K more to get portable charger even after buying scooter with premium amount of 1.89 lacsOver all no satisfaction from 1.89 lacs scooter, it will be  just a show piece after few months."
Good,2 months ago by Ais,5,"Riding is excellent, quality up to mark, key is still the best way to operate a two wheeler, acceleration is epic.Ather needs to improve the rear view mirror and increase no of charging stations. Introduce cruise control through software update. Still a good option in 2022 i wish the price can be reduced by better subsidy rules."
Ride and relax!!!,2 months ago by Savitha,5,Loved this amazing swadeshi-made vehicle!!! very good performance without any problem. Storage space is quite spacious. The back footrest is very comfortable. Reverse gear is an added advantage. Charging is very easy. Looks good. Customer service is fine. Overall good performance. Definitely would like to recommend this vehicle. The only suggestion  company can think of little more mileage (km/charge)
Review,2 weeks ago by Hemant,5,I got the bike delivery within 10 days of the order. A very good experience riding the bike. Looks are very attractive performance is best in the segment and live feature is amazing with the online app of ather. The only problem is the range is only 70km after full charge but if you got a portable charger you can charge it anywhere.
This is my honest review after riding for 750,2 weeks ago by Shivaprasad S,5,"This is my honest review after riding for 7500 km and 9 months.I bought this bike in Aug 2021. The buying experience was not that great, but all that faded out in the excellent performance and quality of this bike. The riding experience was amazing. What I found was Ather has tested this bike in most Indian conditions and it is well suited for Indian roads. Looks are undoubtedly sporty, performance is superb has mentioned in numbers in the website. I had done one service after 5000 km, it cost me some 1200 rs. No maintenance charges except service.Pros.1. Excellent Performance2. Looks3. No maintenance except servicing4. Service cost is low5. Riding experience6. Useful OTA updatesCons.1. Price is comparatively high 2. Buying experience is not impressive3. Range is 90 km. Which would have been 150km for the daily commute."
